Human Ensembl,Mouse Ensembl,Mouse Gene,Mouse Uniprot,Human Gene,Human Uniprot
ENSG00000175426,ENSMUSG00000021587,Pcsk1,P63239,PCSK1,P29120
ENSG00000175445,ENSMUSG00000015568,Lpl,P11152,LPL,P06858
ENSG00000175449,ENSMUSG00000043190,Rfesd,Q8K2P6,RFESD,Q8TAC1
ENSG00000175455,ENSMUSG00000022833,Ccdc14,Q8K2J4,CCDC14,Q49A88
ENSG00000175463,ENSMUSG00000040247,Tbc1d10c,Q8C9V1,TBC1D10C,Q8IV04
ENSG00000175467,ENSMUSG00000039148,Sart1,Q9Z315,SART1,O43290
ENSG00000175470,ENSMUSG00000041769,Ppp2r2d,Q925E7,PPP2R2D,Q66LE6
ENSG00000175471,ENSMUSG00000021596,Mctp1,E9PV86,MCTP1,Q6DN14
ENSG00000175482,ENSMUSG00000024854,Pold4,Q9CWP8,POLD4,Q9HCU8
ENSG00000175489,ENSMUSG00000049988,Lrrc25,Q8K1T1,LRRC25,Q8N386
ENSG00000175505,ENSMUSG00000040663,Clcf1,Q9QZM3,CLCF1,Q9UBD9
ENSG00000175514,ENSMUSG00000044724,Gpr152,Q8BXS7,GPR152,Q8TDT2
ENSG00000175518,ENSMUSG00000051437,Ubqlnl,Q14DL0,UBQLNL,Q8IYU4
ENSG00000175520,ENSMUSG00000051618,Ubqln3,Q8C5U9,UBQLN3,Q9H347
ENSG00000175535,ENSMUSG00000046008,Pnlip,Q6P8U6,PNLIP,P16233
ENSG00000175536,ENSMUSG00000030725,Lipt2,Q9D009,LIPT2,A6NK58
ENSG00000175538,ENSMUSG00000035165,Kcne3,Q9WTW2,KCNE3,Q9Y6H6
ENSG00000175544,ENSMUSG00000024842,Cabp4,Q8VHC5,CABP4,P57796
ENSG00000175548,ENSMUSG00000075470,Alg10b,Q3UGP8,ALG10B,Q5I7T1
ENSG00000175550,ENSMUSG00000024914,Drap1,Q9D6N5,DRAP1,Q14919
ENSG00000175556,ENSMUSG00000016239,Lonrf3,Q9D4H7,LONRF3,Q496Y0
ENSG00000175564,ENSMUSG00000032942,Ucp3,P56501,UCP3,P55916
ENSG00000175567,ENSMUSG00000033685,Ucp2,P70406,UCP2,P55851
ENSG00000175573,ENSMUSG00000047423,AI837181,Q8VD62,C11orf68,Q9H3H3
ENSG00000175582,ENSMUSG00000030704,Rab6a,P35279,RAB6A,P20340
ENSG00000175592,ENSMUSG00000024912,Fosl1,P48755,FOSL1,P15407
ENSG00000175595,ENSMUSG00000022545,Ercc4,Q9QZD4,ERCC4,Q92889
ENSG00000175600,ENSMUSG00000055137,Sugct,Q7TNE1,SUGCT,Q9HAC7
ENSG00000175602,ENSMUSG00000095098,Ccdc85b,Q6PDY0,CCDC85B,Q15834
ENSG00000175606,ENSMUSG00000025940,Tmem70,Q921N7,TMEM70,Q9BUB7
ENSG00000175619,ENSMUSG00000075063,Or4b13,Q60881,OR4B1,Q8NGF8
ENSG00000175634,ENSMUSG00000024830,Rps6kb2,Q9Z1M4,RPS6KB2,Q9UBS0
ENSG00000175643,ENSMUSG00000037991,Rmi2,Q3UPE3,RMI2,Q96E14
ENSG00000175662,ENSMUSG00000000538,Tom1l2,Q5SRX1,TOM1L2,Q6ZVM7
ENSG00000175664,ENSMUSG00000029660,Tex26,Q0VB26,TEX26,Q8N6G2
ENSG00000175701,ENSMUSG00000051319,Mtln,Q8BT35,MTLN,Q8NCU8
ENSG00000175707,ENSMUSG00000037600,Kdf1,A2A9F4,KDF1,Q8NAX2
ENSG00000175711,ENSMUSG00000046605,B3gntl1,Q3U129,B3GNTL1,Q67FW5
ENSG00000175756,ENSMUSG00000065990,Aurkaip1,Q9DCJ7,AURKAIP1,Q9NWT8
ENSG00000175764,ENSMUSG00000026885,Ttll11,A4Q9F4,TTLL11,Q8NHH1
ENSG00000175766,ENSMUSG00000074895,Eif4e1b,Q3UTA9,EIF4E1B,A6NMX2
ENSG00000175782,ENSMUSG00000060181,Slc35e3,Q6PGC7,SLC35E3,Q7Z769
ENSG00000175792,ENSMUSG00000030079,Ruvbl1,P60122,RUVBL1,Q9Y265
ENSG00000175793,ENSMUSG00000047281,Sfn,O70456,SFN,P31947
ENSG00000175806,ENSMUSG00000054733,Msra,Q9D6Y7,MSRA,Q9UJ68
ENSG00000175826,ENSMUSG00000018559,Ctdnep1,Q3TP92,CTDNEP1,O95476
ENSG00000175832,ENSMUSG00000017724,Etv4,P28322,ETV4,P43268
ENSG00000175857,ENSMUSG00000046006,Gapt,Q8CB93,GAPT,Q8N292
ENSG00000175866,ENSMUSG00000025372,Baiap2,Q8BKX1,BAIAP2,Q9UQB8
ENSG00000175874,ENSMUSG00000050967,Creg2,Q8BGC9,CREG2,Q8IUH2
ENSG00000175877,ENSMUSG00000040576,Tmem270,Q6UJB9,TMEM270,Q6UE05
ENSG00000175879,ENSMUSG00000027102,Hoxd8,P23463,HOXD8,P13378
ENSG00000175893,ENSMUSG00000028403,Zdhhc21,Q9D270,ZDHHC21,Q8IVQ6
ENSG00000175894,ENSMUSG00000069581,Tspear,J3S6Y1,TSPEAR,Q8WU66
ENSG00000175895,ENSMUSG00000049969,Plekhf2,Q91WB4,PLEKHF2,Q9H8W4
ENSG00000175899,ENSMUSG00000030111,A2m,Q6GQT1,A2M,P01023
ENSG00000175906,ENSMUSG00000034936,Arl4d,Q99PE9,ARL4D,P49703
ENSG00000175920,ENSMUSG00000044716,Dok7,Q18PE0,DOK7,Q18PE1
ENSG00000175928,ENSMUSG00000034648,Lrrn1,Q61809,LRRN1,Q6UXK5
ENSG00000175931,ENSMUSG00000020802,Ube2o,Q6ZPJ3,UBE2O,Q9C0C9
ENSG00000175938,ENSMUSG00000043964,Orai3,Q6P8G8,ORAI3,Q9BRQ5
ENSG00000175946,ENSMUSG00000022357,Klhl38,Q8BSF5,KLHL38,Q2WGJ6
ENSG00000175970,ENSMUSG00000046562,Unc119b,Q8C4B4,UNC119B,A6NIH7
ENSG00000175985,ENSMUSG00000066438,Plekhd1,B2RPU2,PLEKHD1,A6NEE1
ENSG00000176009,ENSMUSG00000035951,Ascl3,Q9JJR7,ASCL3,Q9NQ33
ENSG00000176014,ENSMUSG00000001473,Tubb6,Q922F4,TUBB6,Q9BUF5
ENSG00000176018,ENSMUSG00000035840,Lysmd3,Q99LE3,LYSMD3,Q7Z3D4
ENSG00000176020,ENSMUSG00000032593,Amigo3,Q8C2S7,AMIGO3,Q86WK7
ENSG00000176022,ENSMUSG00000050796,B3galt6,Q91Z92,B3GALT6,Q96L58
ENSG00000176029,ENSMUSG00000031022,BC051019,Q9JJR6,C11orf16,Q9NQ32
ENSG00000176040,ENSMUSG00000033177,Tmprss7,Q8BIK6,TMPRSS7,Q7RTY8
ENSG00000176046,ENSMUSG00000030717,Nupr1,Q9WTK0,NUPR1,O60356
ENSG00000176055,ENSMUSG00000051098,Mblac2,Q8BL86,MBLAC2,Q68D91
ENSG00000176058,ENSMUSG00000048707,Tprn,A2AI08,TPRN,Q4KMQ1
ENSG00000176076,ENSMUSG00000090122,Kcne5,Q9QZ26,KCNE5,Q9UJ90
ENSG00000176087,ENSMUSG00000033272,Slc35a4,Q9D321,SLC35A4,Q96G79
ENSG00000176095,ENSMUSG00000032594,Ip6k1,Q6PD10,IP6K1,Q92551
ENSG00000176101,ENSMUSG00000026966,Ssna1,Q9JJ94,SSNA1,O43805
ENSG00000176102,ENSMUSG00000027176,Cstf3,Q99LI7,CSTF3,Q12996
ENSG00000176105,ENSMUSG00000014932,Yes1,Q04736,YES1,P07947
ENSG00000176108,ENSMUSG00000025371,Chmp6,P0C0A3,CHMP6,Q96FZ7
ENSG00000176125,ENSMUSG00000051502,Ufsp1,Q9CZP0,UFSP1,Q6NVU6
ENSG00000176136,ENSMUSG00000007480,Mc5r,P41149,MC5R,P33032
ENSG00000176142,ENSMUSG00000002845,Tmem39a,Q9CYC3,TMEM39A,Q9NV64
ENSG00000176148,ENSMUSG00000027175,Tcp11l1,Q8BTG3,TCP11L1,Q9NUJ3
ENSG00000176155,ENSMUSG00000048445,Ccdc57,Q6PHN1,CCDC57,Q2TAC2
ENSG00000176160,ENSMUSG00000070345,Hsf5,Q5ND04,HSF5,Q4G112
ENSG00000176165,ENSMUSG00000020950,Foxg1,Q60987,FOXG1,P55316
ENSG00000176170,ENSMUSG00000061878,Sphk1,Q8CI15,SPHK1,Q9NYA1
ENSG00000176171,ENSMUSG00000078566,Bnip3,O55003,BNIP3,Q12983
ENSG00000176182,ENSMUSG00000048481,Mypop,Q8R4U1,MYPOP,Q86VE0
ENSG00000176194,ENSMUSG00000024526,Cidea,O70302,CIDEA,O60543
ENSG00000176204,ENSMUSG00000052581,Lrrtm4,Q80XG9,LRRTM4,Q86VH4
ENSG00000176208,ENSMUSG00000017550,Atad5,Q4QY64,ATAD5,Q96QE3
ENSG00000176209,ENSMUSG00000031534,Smim19,Q80ZU4,SMIM19,Q96E16
ENSG00000176225,ENSMUSG00000023066,Rttn,Q8R4Y8,RTTN,Q86VV8
ENSG00000176231,ENSMUSG00000054666,Or10h28,Q8VBW9,OR10H4,Q8NGA5
ENSG00000176244,ENSMUSG00000026644,Acbd7,Q9D258,ACBD7,Q8N6N7
ENSG00000176248,ENSMUSG00000026965,Anapc2,Q8BZQ7,ANAPC2,Q9UJX6
ENSG00000176256,ENSMUSG00000048686,Hmgb4,Q6P8W9,HMGB4,Q8WW32
ENSG00000176261,ENSMUSG00000057572,Zbtb8os,Q505B7,ZBTB8OS,Q8IWT0
ENSG00000176273,ENSMUSG00000044026,Slc35g1,Q8BY79,SLC35G1,Q2M3R5
ENSG00000176299,ENSMUSG00000045306,Or4m1,Q8VFT4,OR4M1,Q8NGD0
ENSG00000176302,ENSMUSG00000074397,Foxr1,Q3UTB7,FOXR1,Q6PIV2
ENSG00000176340,ENSMUSG00000035885,Cox8a,Q64445,COX8A,P10176
ENSG00000176358,ENSMUSG00000020872,Tac4,Q99N14,TAC4,Q86UU9
ENSG00000176371,ENSMUSG00000038797,Zscan2,Q07230,ZSCAN2,Q7Z7L9
ENSG00000176381,ENSMUSG00000055945,Prr18,Q6PAN7,PRR18,Q8N4B5
ENSG00000176383,ENSMUSG00000029431,B3gnt4,Q1RLK6,B3GNT4,Q9C0J1
ENSG00000176386,ENSMUSG00000066149,Cdc26,Q99JP4,CDC26,Q8NHZ8
ENSG00000176387,ENSMUSG00000031891,Hsd11b2,P51661,HSD11B2,P80365
ENSG00000176390,ENSMUSG00000017561,Crlf3,Q9Z2L7,CRLF3,Q8IUI8
ENSG00000176393,ENSMUSG00000041926,Rnpep,Q8VCT3,RNPEP,Q9H4A4
ENSG00000176396,ENSMUSG00000046058,Eid2,Q6X7S9,EID2,Q8N6I1
ENSG00000176399,ENSMUSG00000043753,Dmrta1,Q8CFG4,DMRTA1,Q5VZB9
ENSG00000176402,ENSMUSG00000056966,Gjc3,Q921C1,GJC3,Q8NFK1
ENSG00000176406,ENSMUSG00000037386,Rims2,Q9EQZ7,RIMS2,Q9UQ26
ENSG00000176407,ENSMUSG00000055239,Kcmf1,Q80UY2,KCMF1,Q9P0J7
ENSG00000176410,ENSMUSG00000061118,Dnajc30,P59041,DNAJC30,Q96LL9
ENSG00000176422,ENSMUSG00000051346,Spryd4,Q91WK1,SPRYD4,Q8WW59
ENSG00000176428,ENSMUSG00000043614,Vps37d,Q810I0,VPS37D,Q86XT2
ENSG00000176435,ENSMUSG00000045930,Clec14a,Q8VCP9,CLEC14A,Q86T13
ENSG00000176438,ENSMUSG00000054150,Syne3,Q4FZC9,SYNE3,Q6ZMZ3
ENSG00000176444,ENSMUSG00000068917,Clk2,O35491,CLK2,P49760
ENSG00000176454,ENSMUSG00000027134,Lpcat4,Q6NVG1,LPCAT4,Q643R3
ENSG00000176463,ENSMUSG00000025790,Slco3a1,Q8R3L5,SLCO3A1,Q9UIG8
ENSG00000176472,ENSMUSG00000066721,Zfp575,Q3TXZ1,ZNF575,Q86XF7
ENSG00000176473,ENSMUSG00000040877,Wdr25,E9Q349,WDR25,Q64LD2
ENSG00000176476,ENSMUSG00000030714,Sgf29,Q9DA08,SGF29,Q96ES7
ENSG00000176485,ENSMUSG00000060675,Plaat3,Q8R3U1,PLAAT3,P53816
ENSG00000176490,ENSMUSG00000043670,Diras1,Q91Z61,DIRAS1,O95057
ENSG00000176532,ENSMUSG00000045725,Prr15,Q9D1T5,PRR15,Q8IV56
ENSG00000176533,ENSMUSG00000048240,Gng7,Q61016,GNG7,O60262
ENSG00000176563,ENSMUSG00000078653,Cntd1,Q9D995,CNTD1,Q8N815
ENSG00000176595,ENSMUSG00000055675,Kbtbd11,Q8BNW9,KBTBD11,O94819
ENSG00000176597,ENSMUSG00000022686,B3gnt5,Q8BGY6,B3GNT5,Q9BYG0
ENSG00000176601,ENSMUSG00000051590,Map3k19,E9Q3S4,MAP3K19,Q56UN5
ENSG00000176619,ENSMUSG00000062075,Lmnb2,P21619,LMNB2,Q03252
ENSG00000176623,ENSMUSG00000028229,Rmdn1,Q9DCV4,RMDN1,Q96DB5
ENSG00000176624,ENSMUSG00000037253,Mex3c,Q05A36,MEX3C,Q5U5Q3
ENSG00000176635,ENSMUSG00000020419,Hormad2,Q5SQP1,HORMAD2,Q8N7B1
ENSG00000176641,ENSMUSG00000047496,Rnf152,Q8BG47,RNF152,Q8N8N0
ENSG00000176658,ENSMUSG00000035441,Myo1d,Q5SYD0,MYO1D,O94832
ENSG00000176678,ENSMUSG00000097084,Foxl1,Q64731,FOXL1,Q12952
ENSG00000176692,ENSMUSG00000046714,Foxc2,Q61850,FOXC2,Q99958
ENSG00000176697,ENSMUSG00000048482,Bdnf,P21237,BDNF,P23560
ENSG00000176715,ENSMUSG00000015016,Acsf3,Q3URE1,ACSF3,Q4G176
ENSG00000176720,ENSMUSG00000026278,Bok,O35425,BOK,Q9UMX3
ENSG00000176731,ENSMUSG00000078784,Rbis,Q0VG62,RBIS,Q8N0T1
ENSG00000176732,ENSMUSG00000020639,Pfn4,Q9D6I3,PFN4,Q8NHR9
ENSG00000176749,ENSMUSG00000048895,Cdk5r1,P61809,CDK5R1,Q15078
ENSG00000176769,ENSMUSG00000091002,Tcerg1l,Q3B807,TCERG1L,Q5VWI1
ENSG00000176774,ENSMUSG00000067649,Mageb18,Q8BQR7,MAGEB18,Q96M61
ENSG00000176782,ENSMUSG00000027468,Defb22,Q8BVC1,DEFB104A,Q8WTQ1
ENSG00000176783,ENSMUSG00000020375,Rufy1,Q8BIJ7,RUFY1,Q96T51
ENSG00000176788,ENSMUSG00000045763,Basp1,Q91XV3,BASP1,P80723
ENSG00000176797,ENSMUSG00000046354,Defb14,Q7TNV9,DEFB103A,P81534
ENSG00000176834,ENSMUSG00000066894,Vsig10,D3YX43,VSIG10,Q8N0Z9
ENSG00000176842,ENSMUSG00000031737,Irx5,Q9JKQ4,IRX5,P78411
ENSG00000176845,ENSMUSG00000039208,Metrnl,Q8VE43,METRNL,Q641Q3
ENSG00000176853,ENSMUSG00000037119,Fam91a1,Q3UVG3,FAM91A1,Q658Y4
ENSG00000176871,ENSMUSG00000029364,Wsb2,O54929,WSB2,Q9NYS7
ENSG00000176884,ENSMUSG00000026959,Grin1,P35438,GRIN1,Q05586
ENSG00000176887,ENSMUSG00000063632,Sox11,Q7M6Y2,SOX11,P35716
ENSG00000176890,ENSMUSG00000025747,Tyms,P07607,TYMS,P04818
ENSG00000176896,ENSMUSG00000051224,Tceanc,Q3US16,TCEANC,Q8N8B7
ENSG00000176903,ENSMUSG00000054383,Pnma1,Q8C1C8,PNMA1,Q8ND90
ENSG00000176907,ENSMUSG00000056313,Tcim,Q9D915,TCIM,Q9NR00
ENSG00000176909,ENSMUSG00000042918,Mamstr,Q0ZCJ7,MAMSTR,Q6ZN01
ENSG00000176915,ENSMUSG00000029501,Ankle2,Q6P1H6,ANKLE2,Q86XL3
ENSG00000176919,ENSMUSG00000015083,C8g,Q8VCG4,C8G,P07360
ENSG00000176920,ENSMUSG00000055978,Fut2,Q9JL27,FUT2,Q10981
ENSG00000176927,ENSMUSG00000050944,Efcab5,A0JP43,EFCAB5,A4FU69
ENSG00000176928,ENSMUSG00000091387,Gcnt4,E9Q649,GCNT4,Q9P109
ENSG00000176945,ENSMUSG00000035638,Muc20,Q8BUE7,MUC20,Q8N307
ENSG00000176946,ENSMUSG00000026279,Thap4,Q6P3Z3,THAP4,Q8WY91
ENSG00000176953,ENSMUSG00000030722,Nfatc2ip,O09130,NFATC2IP,Q8NCF5
ENSG00000176956,ENSMUSG00000022577,Ly6h,Q9WUC3,LY6H,O94772
ENSG00000176971,ENSMUSG00000074971,Fibin,Q9CQS3,FIBIN,Q8TAL6
ENSG00000176973,ENSMUSG00000024939,Fam89b,Q9QUI1,FAM89B,Q8N5H3
ENSG00000176974,ENSMUSG00000020534,Shmt1,P50431,SHMT1,P34896
ENSG00000176978,ENSMUSG00000026958,Dpp7,Q9ET22,DPP7,Q9UHL4
ENSG00000176979,ENSMUSG00000053490,Trim60,Q8VI40,TRIM60,Q495X7
ENSG00000176988,ENSMUSG00000062170,Fmr1nb,Q80ZA7,FMR1NB,Q8N0W7
ENSG00000176994,ENSMUSG00000049323,Smcr8,Q3UMB5,SMCR8,Q8TEV9
ENSG00000177000,ENSMUSG00000029009,Mthfr,Q9WU20,MTHFR,P42898
ENSG00000177030,ENSMUSG00000058886,Deaf1,Q9Z1T5,DEAF1,O75398
ENSG00000177042,ENSMUSG00000025505,Tmem80,Q9D3H0,TMEM80,Q96HE8
ENSG00000177045,ENSMUSG00000040841,Six5,P70178,SIX5,Q8N196
ENSG00000177051,ENSMUSG00000050428,Fbxo46,Q8BG80,FBXO46,Q6PJ61
ENSG00000177054,ENSMUSG00000030471,Zdhhc13,Q9CWU2,ZDHHC13,Q8IUH4
ENSG00000177058,ENSMUSG00000047789,Slc38a9,Q8BGD6,SLC38A9,Q8NBW4
ENSG00000177076,ENSMUSG00000038007,Acer2,Q8VD53,ACER2,Q5QJU3
ENSG00000177082,ENSMUSG00000025722,Wdr73,Q9CWR1,WDR73,Q6P4I2
ENSG00000177084,ENSMUSG00000007080,Pole,Q9WVF7,POLE,Q07864
ENSG00000177098,ENSMUSG00000046480,Scn4b,Q7M729,SCN4B,Q8IWT1
ENSG00000177103,ENSMUSG00000032087,Dscaml1,Q4VA61,DSCAML1,Q8TD84
ENSG00000177105,ENSMUSG00000073982,Rhog,P84096,RHOG,P84095
ENSG00000177106,ENSMUSG00000025504,Eps8l2,Q99K30,EPS8L2,Q9H6S3
ENSG00000177108,ENSMUSG00000048483,Zdhhc22,A0PK84,ZDHHC22,Q8N966
ENSG00000177119,ENSMUSG00000064210,Ano6,Q6P9J9,ANO6,Q4KMQ2
ENSG00000177138,ENSMUSG00000067764,Xlr5c,Q9JJR2,FAM9B,Q8IZU0
ENSG00000177143,ENSMUSG00000050996,Cetn1,P41209,CETN1,Q12798
ENSG00000177144,ENSMUSG00000020029,Nudt4,Q8R2U6,NUDT4B,A0A024RBG1
ENSG00000177150,ENSMUSG00000038121,Fam210a,Q8BGY7,FAM210A,Q96ND0
ENSG00000177156,ENSMUSG00000025503,Taldo1,Q93092,TALDO1,P37837
ENSG00000177181,ENSMUSG00000048899,Rimkla,Q6PFX8,RIMKLA,Q8IXN7
ENSG00000177182,ENSMUSG00000041216,Clvs1,Q9D4C9,CLVS1,Q8IUQ0
ENSG00000177189,ENSMUSG00000031309,Rps6ka3,P18654,RPS6KA3,P51812
ENSG00000177191,ENSMUSG00000059479,B3gnt8,Q8R3I9,B3GNT8,Q7Z7M8
ENSG00000177192,ENSMUSG00000029507,Pus1,Q9WU56,PUS1,Q9Y606
ENSG00000177200,ENSMUSG00000056608,Chd9,Q8BYH8,CHD9,Q3L8U1
ENSG00000177202,ENSMUSG00000070563,Spaca4,Q80ZQ0,SPACA4,Q8TDM5
ENSG00000177225,ENSMUSG00000051007,Gatd1,Q8BFQ8,GATD1,Q8NB37
ENSG00000177238,ENSMUSG00000042828,Trim72,Q1XH17,TRIM72,Q6ZMU5
ENSG00000177239,ENSMUSG00000036646,Man1b1,A2AJ15,MAN1B1,Q9UKM7
ENSG00000177272,ENSMUSG00000047959,Kcna3,P16390,KCNA3,P22001
ENSG00000177283,ENSMUSG00000036904,Fzd8,Q61091,FZD8,Q9H461
ENSG00000177291,ENSMUSG00000036855,Gjd4,Q8BSD4,GJD4,Q96KN9
ENSG00000177294,ENSMUSG00000070388,Fbxo39,Q5NBU5,FBXO39,Q8N4B4
ENSG00000177301,ENSMUSG00000040724,Kcna2,P63141,KCNA2,P16389
ENSG00000177302,ENSMUSG00000002814,Top3a,O70157,TOP3A,Q13472
ENSG00000177303,ENSMUSG00000034471,Caskin2,Q8VHK1,CASKIN2,Q8WXE0
ENSG00000177352,ENSMUSG00000049305,Ccdc71,Q8VEG0,CCDC71,Q8IV32
ENSG00000177354,ENSMUSG00000071540,3425401B19Rik,D3Z1D3,C10orf71,Q711Q0
ENSG00000177363,ENSMUSG00000071656,Lrrn4cl,Q3TYX2,LRRN4CL,Q8ND94
ENSG00000177370,ENSMUSG00000020843,Timm22,Q9CQ85,TIMM22,Q9Y584
ENSG00000177374,ENSMUSG00000043099,Hic1,Q9R1Y5,HIC1,Q14526
ENSG00000177380,ENSMUSG00000003863,Ppfia3,P60469,PPFIA3,O75145
ENSG00000177398,ENSMUSG00000054134,Umodl1,Q5DID3,UMODL1,Q5DID0
ENSG00000177425,ENSMUSG00000035873,Pawr,Q925B0,PAWR,Q96IZ0
ENSG00000177426,ENSMUSG00000047407,Tgif1,P70284,TGIF1,Q15583
ENSG00000177427,ENSMUSG00000018599,Mief2,Q5NCS9,MIEF2,Q96C03
ENSG00000177432,ENSMUSG00000055430,Nap1l5,Q9JJF0,NAP1L5,Q96NT1
ENSG00000177453,ENSMUSG00000095930,Nim1k,Q8BHI9,NIM1K,Q8IY84
ENSG00000177455,ENSMUSG00000030724,Cd19,P25918,CD19,P15391
ENSG00000177459,ENSMUSG00000044726,Erich5,Q8K0S2,ERICH5,Q6P6B1
ENSG00000177463,ENSMUSG00000005893,Nr2c2,P49117,NR2C2,P49116
ENSG00000177464,ENSMUSG00000044317,Gpr4,Q8BUD0,GPR4,P46093
ENSG00000177465,ENSMUSG00000052392,Acot4,Q8BWN8,ACOT4,Q8N9L9
ENSG00000177468,ENSMUSG00000045591,Olig3,Q6PFG8,OLIG3,Q7RTU3
ENSG00000177469,ENSMUSG00000004044,Cavin1,O54724,CAVIN1,Q6NZI2
ENSG00000177479,ENSMUSG00000064145,Arih2,Q9Z1K6,ARIH2,O95376
ENSG00000177483,ENSMUSG00000070732,Rbm44,Q3V089,RBM44,Q6ZP01
ENSG00000177485,ENSMUSG00000048047,Zbtb33,Q8BN78,ZBTB33,Q86T24
ENSG00000177508,ENSMUSG00000031734,Irx3,P81067,IRX3,P78415
ENSG00000177511,ENSMUSG00000056812,St8sia3,Q64689,ST8SIA3,O43173
ENSG00000177519,ENSMUSG00000075334,Rprm,Q9JJ72,RPRM,Q9NS64
ENSG00000177542,ENSMUSG00000019082,Slc25a22,Q9D6M3,SLC25A22,Q9H936
ENSG00000177548,ENSMUSG00000030727,Rabep2,Q91WG2,RABEP2,Q9H5N1
ENSG00000177551,ENSMUSG00000048540,Nhlh2,Q64221,NHLH2,Q02577
ENSG00000177556,ENSMUSG00000018585,Atox1,O08997,ATOX1,O00244
ENSG00000177558,ENSMUSG00000046826,Fam187b,Q0VAY3,FAM187B,Q17R55
ENSG00000177565,ENSMUSG00000027630,Tbl1xr1,Q8BHJ5,TBL1XR1,Q9BZK7
ENSG00000177570,ENSMUSG00000058656,Samd12,Q0VE29,SAMD12,Q8N8I0
ENSG00000177575,ENSMUSG00000008845,Cd163,Q2VLH6,CD163,Q86VB7
ENSG00000177576,ENSMUSG00000036299,BC031181,Q91WE4,C18orf32,Q8TCD1
ENSG00000177595,ENSMUSG00000025507,Pidd1,Q9ERV7,PIDD1,Q9HB75
ENSG00000177600,ENSMUSG00000025508,Rplp2,P99027,RPLP2,P05387
ENSG00000177606,ENSMUSG00000052684,Jun,P05627,JUN,P05412
ENSG00000177613,ENSMUSG00000053536,Cstf2t,Q8C7E9,CSTF2T,Q9H0L4
ENSG00000177614,ENSMUSG00000050751,Pgbd5,D3YZI9,PGBD5,Q8N414
ENSG00000177628,ENSMUSG00000028048,Gba1,P17439,GBA1,P04062
ENSG00000177646,ENSMUSG00000027710,Acad9,Q8JZN5,ACAD9,Q9H845
ENSG00000177663,ENSMUSG00000002897,Il17ra,Q60943,IL17RA,Q96F46
ENSG00000177666,ENSMUSG00000025509,Pnpla2,Q8BJ56,PNPLA2,Q96AD5
ENSG00000177669,ENSMUSG00000071113,Mboat4,P0C7A3,MBOAT4,Q96T53
ENSG00000177673,ENSMUSG00000036574,Tex44,Q9DA60,TEX44,Q53QW1
ENSG00000177674,ENSMUSG00000029007,Agtrap,Q9WVK0,AGTRAP,Q6RW13
ENSG00000177685,ENSMUSG00000048200,Cracr2b,Q80ZJ8,CRACR2B,Q8N4Y2
ENSG00000177688,ENSMUSG00000020738,Sumo2,P61957,SUMO4,Q6EEV6
ENSG00000177692,ENSMUSG00000039763,Dnajc28,Q8VCE1,DNAJC28,Q9NX36
ENSG00000177697,ENSMUSG00000025510,Cd151,O35566,CD151,P48509
ENSG00000177700,ENSMUSG00000038489,Polr2l,P62876,POLR2L,P62875
ENSG00000177706,ENSMUSG00000025854,Fam20c,Q5MJS3,FAM20C,Q8IXL6
ENSG00000177707,ENSMUSG00000022656,Nectin3,Q9JLB9,NECTIN3,Q9NQS3
ENSG00000177710,ENSMUSG00000018776,Slc35g3,Q5F297,SLC35G5,Q96KT7
ENSG00000177728,ENSMUSG00000020747,Tmem94,Q7TSH8,TMEM94,Q12767
ENSG00000177731,ENSMUSG00000002812,Flii,Q9JJ28,FLII,Q13045
ENSG00000177732,ENSMUSG00000051817,Sox12,Q04890,SOX12,O15370
ENSG00000177733,ENSMUSG00000007836,Hnrnpa0,Q9CX86,HNRNPA0,Q13151
ENSG00000177752,ENSMUSG00000029158,Yipf7,Q9JIM5,YIPF7,Q8N8F6
ENSG00000177791,ENSMUSG00000068697,Myoz1,Q9JK37,MYOZ1,Q9NP98
ENSG00000177807,ENSMUSG00000044708,Kcnj10,Q9JM63,KCNJ10,P78508
ENSG00000177830,ENSMUSG00000025512,Chid1,Q922Q9,CHID1,Q9BWS9
ENSG00000177839,ENSMUSG00000048347,Pcdhb18,Q91Y02,PCDHB9,Q9Y5E1
ENSG00000177853,ENSMUSG00000049164,Zfp518a,B2RRF6,ZNF518A,Q6AHZ1
ENSG00000177868,ENSMUSG00000028643,Svbp,Q99LQ4,SVBP,Q8N300
ENSG00000177875,ENSMUSG00000029875,Ccdc184,Q8BMK5,CCDC184,Q52MB2
ENSG00000177879,ENSMUSG00000024480,Ap3s1,Q9DCR2,AP3S1,Q92572
ENSG00000177885,ENSMUSG00000059923,Grb2,Q60631,GRB2,P62993
ENSG00000177888,ENSMUSG00000033964,Zbtb41,Q811F1,ZBTB41,Q5SVQ8
ENSG00000177889,ENSMUSG00000074781,Ube2n,P61089,UBE2N,P61088
ENSG00000177910,ENSMUSG00000056223,Spata31,E9QAF0,SPATA31C2,B4DYI2
ENSG00000177917,ENSMUSG00000026960,Arl6ip6,Q8BH07,ARL6IP6,Q8N6S5
ENSG00000177932,ENSMUSG00000044807,Zfp354c,Q571J5,ZNF354C,Q86Y25
ENSG00000177938,ENSMUSG00000041791,Capza3,P70190,CAPZA3,Q96KX2
ENSG00000177943,ENSMUSG00000026941,Mamdc4,A2AJA7,MAMDC4,Q6UXC1
ENSG00000177947,ENSMUSG00000025482,Cimap1a,Q920N1,CIMAP1A,Q96PU9
